,variance
1553441_at,5.755243839925346
1555102_at,5.398271840602337
1555756_a_at,4.3025097894999345
1555745_a_at,4.270999380768395
1556395_at,3.964753884405019
1556598_at,3.9462228513968474
1553808_a_at,3.8158746695836765
1554764_a_at,3.760077151504327
1553963_at,3.7286898551339114
1555412_at,3.6746320293601165
1557636_a_at,3.6357331543294356
1555939_at,3.5026963703841814
1554920_at,3.465050357406133
1556366_s_at,3.402348930141624
1555928_at,3.3482686336151506
1552661_at,3.2559398478183867
1555111_at,3.2288134099549457
1557017_at,3.222939535125582
1554892_a_at,3.196944975572707
1552972_at,3.1922729074849627
